scenario,pattern,fires_found,squares_viewed,first_detect_step,plot
1,expanding_square,1,523,89,C:\Users\caden\firedroneRL\search sim\plots\search_s1_expanding_square.png
1,sector,1,264,78,C:\Users\caden\firedroneRL\search sim\plots\search_s1_sector.png
1,parallel_sweep,1,574,37,C:\Users\caden\firedroneRL\search sim\plots\search_s1_parallel_sweep.png
1,track_line,1,112,18,C:\Users\caden\firedroneRL\search sim\plots\search_s1_track_line.png
1,creeping_line,1,227,164,C:\Users\caden\firedroneRL\search sim\plots\search_s1_creeping_line.png
1,area_box,0,362,,C:\Users\caden\firedroneRL\search sim\plots\search_s1_area_box.png
2,expanding_square,6,523,89,C:\Users\caden\firedroneRL\search sim\plots\search_s2_expanding_square.png
2,sector,7,264,78,C:\Users\caden\firedroneRL\search sim\plots\search_s2_sector.png
2,parallel_sweep,3,574,37,C:\Users\caden\firedroneRL\search sim\plots\search_s2_parallel_sweep.png
2,track_line,2,112,18,C:\Users\caden\firedroneRL\search sim\plots\search_s2_track_line.png
2,creeping_line,4,227,166,C:\Users\caden\firedroneRL\search sim\plots\search_s2_creeping_line.png
2,area_box,3,362,90,C:\Users\caden\firedroneRL\search sim\plots\search_s2_area_box.png
3,expanding_square,8,523,89,C:\Users\caden\firedroneRL\search sim\plots\search_s3_expanding_square.png
3,sector,8,264,54,C:\Users\caden\firedroneRL\search sim\plots\search_s3_sector.png
3,parallel_sweep,8,574,37,C:\Users\caden\firedroneRL\search sim\plots\search_s3_parallel_sweep.png
3,track_line,8,112,19,C:\Users\caden\firedroneRL\search sim\plots\search_s3_track_line.png
3,creeping_line,8,227,133,C:\Users\caden\firedroneRL\search sim\plots\search_s3_creeping_line.png
3,area_box,0,362,,C:\Users\caden\firedroneRL\search sim\plots\search_s3_area_box.png
4,expanding_square,5,523,89,C:\Users\caden\firedroneRL\search sim\plots\search_s4_expanding_square.png
4,sector,5,264,20,C:\Users\caden\firedroneRL\search sim\plots\search_s4_sector.png
4,parallel_sweep,3,574,29,C:\Users\caden\firedroneRL\search sim\plots\search_s4_parallel_sweep.png
4,track_line,1,112,18,C:\Users\caden\firedroneRL\search sim\plots\search_s4_track_line.png
4,creeping_line,1,227,166,C:\Users\caden\firedroneRL\search sim\plots\search_s4_creeping_line.png
4,area_box,4,362,21,C:\Users\caden\firedroneRL\search sim\plots\search_s4_area_box.png
5,expanding_square,1,523,89,C:\Users\caden\firedroneRL\search sim\plots\search_s5_expanding_square.png
5,sector,1,264,78,C:\Users\caden\firedroneRL\search sim\plots\search_s5_sector.png
5,parallel_sweep,1,574,37,C:\Users\caden\firedroneRL\search sim\plots\search_s5_parallel_sweep.png
5,track_line,1,112,18,C:\Users\caden\firedroneRL\search sim\plots\search_s5_track_line.png
5,creeping_line,1,227,166,C:\Users\caden\firedroneRL\search sim\plots\search_s5_creeping_line.png
5,area_box,0,362,,C:\Users\caden\firedroneRL\search sim\plots\search_s5_area_box.png
6,expanding_square,1,523,83,C:\Users\caden\firedroneRL\search sim\plots\search_s6_expanding_square.png
6,sector,1,264,17,C:\Users\caden\firedroneRL\search sim\plots\search_s6_sector.png
6,parallel_sweep,1,574,23,C:\Users\caden\firedroneRL\search sim\plots\search_s6_parallel_sweep.png
6,track_line,1,112,11,C:\Users\caden\firedroneRL\search sim\plots\search_s6_track_line.png
6,creeping_line,1,227,137,C:\Users\caden\firedroneRL\search sim\plots\search_s6_creeping_line.png
6,area_box,1,362,18,C:\Users\caden\firedroneRL\search sim\plots\search_s6_area_box.png
